"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "HTML", "XML", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useSmartBack.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useStationPrinter.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 10, 8, 68
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useStorageSettings.ts", "TypeScript", 224, 0, 0, 0, 0, 0, 0, 0, 0, 21, 245
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useTableColumnConfig.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 1, 10, 66
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useTheme.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 8, 11, 94
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useUserPreferences.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 8, 14, 63
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useVendors.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 9, 128
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 350, 0, 0, 25, 87, 462
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\__tests__\productionHelpers.test.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 12, 22, 126
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\apiConfig.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 15, 31, 163
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\api\me.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 6, 8, 49
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\api\platform.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 25, 15, 118
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\appEnv.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 27, 7, 52
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\assetUrlCache.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 22, 7, 58
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachmentViewer.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 10, 87
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachments.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 35, 18, 107
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachments\attachmentStatus.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 43, 26, 158
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachments\orderFileRows.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 12, 111
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachments\quoteLineItemRows.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\authUtils.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\branding.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\config\storage.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\downloadFile.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 23, 22, 162
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\fileUtils.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 25, 14, 100
