"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "HTML", "XML", "PostCSS", "Markdown", "JavaScript", "YAML", "Log", "JSON with Comments", "Ini", "PowerShell", "MS SQL", "Dotenv", "comment", "blank", "total"
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\OrderAttachmentsPanel.tsx", "TypeScript JSX", 0, 504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 59, 583
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\OrderStateBadge.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 26
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\OrderStatusPillSelector.tsx", "TypeScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 93
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\OrgSwitcher.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 93
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\PBV2ProductBuilderSectionV2.tsx", "TypeScript JSX", 0, 1315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 172, 1602
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\PackingSlipModal.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 55
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\PlaceholderPage.tsx", "TypeScript JSX", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 98
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ProductForm.tsx", "TypeScript JSX", 0, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 58, 1091
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ProductOptionsPanelV2_Mvp.tsx", "TypeScript JSX", 0, 711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 63, 834
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ProductSimulator.tsx", "TypeScript JSX", 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 322
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\PurchaseOrderForm.tsx", "TypeScript JSX", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 187
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\QuoteAttachmentsPanel.tsx", "TypeScript JSX", 0, 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 54, 528
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\QuoteWorkflowActions.tsx", "TypeScript JSX", 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 34, 342
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\QuoteWorkflowBadge.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ReceiveMaterialReorderDialog.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ReceivePurchaseOrderItemsForm.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\RequestMaterialReorderDialog.tsx", "TypeScript JSX", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 107
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ShipmentForm.tsx", "TypeScript JSX", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 283
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ShippingPanel.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 97
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\SplitWorkspace.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 76
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\StateTransitionButtons.tsx", "TypeScript JSX", 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43, 424
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\TimelinePanel.module.css", "PostCSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\TimelinePanel.tsx", "TypeScript JSX", 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 272
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\VendorForm.tsx", "TypeScript JSX", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 239
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\ViewAllAttachmentsDialog.tsx", "TypeScript JSX", 0, 591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 43, 650
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\VoidQuoteDialog.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 129
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\admin-dashboard.tsx", "TypeScript JSX", 0, 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31, 421
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\admin-settings.tsx", "TypeScript JSX", 0, 5022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 187, 5270
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\components\branding\PrintersHeroSplashVideo.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
